sub_county,location,population,households_total,source
Dagoretti,Kawangware,291565,105258,KNBS 2019 Census Vol II Table 2.4
Dagoretti,Waithaka,142643,49831,KNBS 2019 Census Vol II Table 2.4
Embakasi,Embakasi,539856,206380,KNBS 2019 Census Vol II Table 2.4
Embakasi,Kayole,183873,56981,KNBS 2019 Census Vol II Table 2.4
Embakasi,Umoja,265079,84594,KNBS 2019 Census Vol II Table 2.4
Kamukunji,Eastleigh,225815,67552,KNBS 2019 Census Vol II Table 2.4
Kamukunji,Pumwani,42461,16813,KNBS 2019 Census Vol II Table 2.4
Kasarani,Githurai,216392,77492,KNBS 2019 Census Vol II Table 2.4
Kasarani,Kariobangi North,154483,51252,KNBS 2019 Census Vol II Table 2.4
Kasarani,Kasarani,198918,66678,KNBS 2019 Census Vol II Table 2.4
Kasarani,Roysambu,210863,75868,KNBS 2019 Census Vol II Table 2.4
Kibra,Kibera,120057,39593,KNBS 2019 Census Vol II Table 2.4
Kibra,Laini Saba,29605,11795,KNBS 2019 Census Vol II Table 2.4
Kibra,Woodley,36115,10302,KNBS 2019 Census Vol II Table 2.4
Langata,Karen,35190,12031,KNBS 2019 Census Vol II Table 2.4
Langata,Nairobi West,162299,50208,KNBS 2019 Census Vol II Table 2.4
Makadara,Bahati,29993,11491,KNBS 2019 Census Vol II Table 2.4
Makadara,Makadara,116473,40398,KNBS 2019 Census Vol II Table 2.4
Makadara,Viwandani,43070,18472,KNBS 2019 Census Vol II Table 2.4
Mathare,Huruma,113038,39262,KNBS 2019 Census Vol II Table 2.4
Mathare,Mathare,93526,35705,KNBS 2019 Census Vol II Table 2.4
Njiru,Dandora,295670,101178,KNBS 2019 Census Vol II Table 2.4
Njiru,Njiru,225327,70640,KNBS 2019 Census Vol II Table 2.4
Njiru,Ruai,105485,32745,KNBS 2019 Census Vol II Table 2.4
Starehe,CBD,53110,18813,KNBS 2019 Census Vol II Table 2.4
Starehe,Central,54872,14097,KNBS 2019 Census Vol II Table 2.4
Starehe,South B,102441,36479,KNBS 2019 Census Vol II Table 2.4
Westlands,Highridge,75515,24586,KNBS 2019 Census Vol II Table 2.4
Westlands,Kangemi,150369,54671,KNBS 2019 Census Vol II Table 2.4
Westlands,Kilimani,82970,25723,KNBS 2019 Census Vol II Table 2.4
