category,n_locations,n_nonzero,p25,p67,note
clothes,30,20,,0.02646247,terciles at 0.0031 / 0.0265
fast_food,30,22,,0.07497383,terciles at 0.0063 / 0.0750
greengrocer,30,15,,0.01139333,terciles at 0.0000 / 0.0114
hairdresser,30,24,,0.056952260000000005,terciles at 0.0089 / 0.0570
hardware,30,25,,0.023368399999999998,terciles at 0.0069 / 0.0234
kiosk,30,17,,0.05365239,terciles at 0.0000 / 0.0537
laundry,30,9,,0.0,terciles at 0.0000 / 0.0000
motorcycle_taxi,30,0,,,too sparse for 3-way clustering; labels left NULL
pharmacy,30,25,,0.20128724,terciles at 0.0399 / 0.2013
restaurant,30,26,,0.33694559999999996,terciles at 0.0592 / 0.3369
salon,30,14,,0.00921724,terciles at 0.0000 / 0.0092
supermarket,30,27,,0.12027148,terciles at 0.0356 / 0.1203
