location_id,location_name,category,tier,financing_confound_flag,geo_method,population,business_count,predicted_count,competitors_100m,competitors_500m,anchors_market_500m,bus_stops_500m,total_pois,population_sum_wp,pop_mean_wp,pop_density_wp,viirs_mean,viirs_median
1,Kawangware,supermarket,1,0,bbox,291565,15,17.6515,,,,,,nan,nan,nan,nan,nan
1,Kawangware,pharmacy,1,0,bbox,291565,79,40.5681,,,,,,nan,nan,nan,nan,nan
1,Kawangware,restaurant,1,0,bbox,291565,34,62.3394,,,,,,nan,nan,nan,nan,nan
1,Kawangware,hairdresser,1,0,bbox,291565,1,10.2848,,,,,,nan,nan,nan,nan,nan
1,Kawangware,clothes,1,0,bbox,291565,4,4.5404,,,,,,nan,nan,nan,nan,nan
1,Kawangware,hardware,1,0,bbox,291565,2,4.3863,,,,,,nan,nan,nan,nan,nan
1,Kawangware,salon,2,0,bbox,291565,0,2.2049,,,,,,nan,nan,nan,nan,nan
1,Kawangware,greengrocer,2,0,bbox,291565,3,2.5857,,,,,,nan,nan,nan,nan,nan
1,Kawangware,kiosk,2,0,bbox,291565,0,28.0751,,,,,,nan,nan,nan,nan,nan
1,Kawangware,fast_food,2,0,bbox,291565,8,9.9796,,,,,,nan,nan,nan,nan,nan
1,Kawangware,laundry,2,0,bbox,291565,0,1.3416,,,,,,nan,nan,nan,nan,nan
1,Kawangware,motorcycle_taxi,2,1,bbox,291565,0,0.0,,,,,,nan,nan,nan,nan,nan
2,Waithaka,supermarket,1,0,bbox,142643,3,14.7037,,,,,,nan,nan,nan,nan,nan
2,Waithaka,pharmacy,1,0,bbox,142643,7,33.7932,,,,,,nan,nan,nan,nan,nan
2,Waithaka,restaurant,1,0,bbox,142643,7,51.9287,,,,,,nan,nan,nan,nan,nan
2,Waithaka,hairdresser,1,0,bbox,142643,2,8.5672,,,,,,nan,nan,nan,nan,nan
2,Waithaka,clothes,1,0,bbox,142643,2,3.7822,,,,,,nan,nan,nan,nan,nan
