osm_id,category,lat,lon,name
1420033886,hairdresser,-1.2795197,36.8130013,YMCA SAMSAN SALON
5559348157,hairdresser,-1.2914657,36.7830783,Borderless Barbershop and Salon
10566929710,hairdresser,-1.2952842,36.7977671,Westside hurlingham Barbers
5361293325,salon,-1.2895623,36.7864428,Posh Palace Hair Studio & Spa
5414007499,salon,-1.2945232,36.7913926,Oasis Spa Point
5440487419,salon,-1.2886114,36.7857659,Artistry Salon & Spa
9722395619,salon,-1.2913786,36.7830755,Alexiz Naturel Salon & Spa
9722395620,salon,-1.2915158,36.7830564,MasterCraft Barbershop
10566929712,salon,-1.295659,36.7976716,Merielylne Beauty
30088423,restaurant,-1.2923537,36.8062511,China Plate
30210243,restaurant,-1.294902,36.7996806,The Blues
30210244,restaurant,-1.2949839,36.7981018,Shanghai Restaurant
30210293,restaurant,-1.293115,36.7933716,New Beijing Restaurant
30215021,restaurant,-1.2829298,36.8159604,Habesha II Ethiopian
30695695,restaurant,-1.2855082,36.8134256,YWCA
255660901,restaurant,-1.2889249,36.7900038,Osteria del Chianti
255682373,restaurant,-1.2887897,36.790909,Cedars Restaurant
255683130,restaurant,-1.2856126,36.791729,Q Lounge
315205740,restaurant,-1.2922001,36.782942,Diners Gardens
323106965,restaurant,-1.2893296,36.7883178,Misono
571733403,restaurant,-1.2957893,36.8071943,Savannah Upper Hill
771252811,restaurant,-1.2991259,36.791691,The Agenda
842042537,restaurant,-1.2949522,36.7970213,Tamasha Hurlingham
968548361,restaurant,-1.2837839,36.8178078,Savannah
1333619849,restaurant,-1.2896044,36.8039737,Amaica Restaurant
1333644474,restaurant,-1.290839,36.8049388,Slims Restaurant
1333669394,restaurant,-1.2899904,36.8003077,Lenana Restaurant
1333669419,restaurant,-1.2897204,36.8004228,Lower Restaurant
1333670146,restaurant,-1.2917346,36.795884,Checkers inn Bar & restaurant
1418962720,restaurant,-1.2799436,36.8126726,ymca restaraunt
1420048724,restaurant,-1.2807028,36.8133758,United Kenya Club
1764202913,restaurant,-1.2855785,36.7863582,Gracia Gardens
2818439701,restaurant,-1.288543,36.803255,Local Food. Not Fancy.
2849789428,restaurant,-1.2882567,36.8028638,Local Food
2849789429,restaurant,-1.2889516,36.8025458,Local Food
2991405453,restaurant,-1.2755591,36.7889255,Viva Lounge
3776166740,restaurant,-1.2884017,36.7899739,Casablanca
3996188572,restaurant,-1.2948261,36.7999469,Kula Korner
4075648759,restaurant,-1.2947784,36.7872703,Newscafe - Adlife (Kilimani)
4075662155,restaurant,-1.2948368,36.7872865,Big Square
4405710393,restaurant,-1.286018,36.8198548,K&A Coffee House & Cafeteria
4406454891,restaurant,-1.2742354,36.7888224,Tulip's
4516528589,restaurant,-1.2889476,36.8040487,Nyama Choma Paradise
4592077893,restaurant,-1.2970463,36.8024915,
4772237778,restaurant,-1.293612,36.7950745,Pablo's
4923541341,restaurant,-1.2943488,36.7990948,Nook
4966765923,restaurant,-1.2934686,36.785158,Caribbean
5003136023,restaurant,-1.2868425,36.8199915,89 Eateries
5254474221,restaurant,-1.2907703,36.7827542,Fogo Gaucho
5328528781,restaurant,-1.2975822,36.7911663,Soiree Gardens Restaurant
5339160677,restaurant,-1.2706857,36.7931233,Chengdu Impression
5339200167,restaurant,-1.2705563,36.7984216,Pots And Palms
5339209653,restaurant,-1.2735736,36.7940306,Laikipia Cottages
5339220442,restaurant,-1.2761391,36.7918972,Java Rosslyn Riviera
5339224752,restaurant,-1.2761213,36.7877876,Solar Garden
5339224753,restaurant,-1.2798703,36.7835011,Swadish Gardens
5339317386,restaurant,-1.2714378,36.8018311,Amani ya Juu
5339427767,restaurant,-1.2737035,36.8118563,Treehouse
5339427768,restaurant,-1.2735587,36.8128083,Ebony Lounge
5340504521,restaurant,-1.2913329,36.7856058,Yejoka Gardens
5341078558,restaurant,-1.2703746,36.8156625,Appletinni Bar & Restaurant
5341078560,restaurant,-1.2703249,36.8161401,Mister Wok - Parklands
5353024597,restaurant,-1.2713017,36.8089634,"Lucca Restaurant, Villa Rosa Kempinski"
5353026687,restaurant,-1.2714187,36.808746,Tambourin
5353026688,restaurant,-1.2716595,36.8089568,Cafe Villa Rosa
5378425141,restaurant,-1.2849401,36.7931569,Road House Grill Kilimani
5378545307,restaurant,-1.2962663,36.8111871,Meladen Bar and Restaurant
5380534545,restaurant,-1.2992635,36.811724,Upperhill Springs Restaurant
5383781979,restaurant,-1.2954103,36.8160245,BHB
5383781993,restaurant,-1.2891622,36.8141608,Jumuia Coffee House
5383793222,restaurant,-1.2900093,36.811585,La Contessa Restaurant
5383793281,restaurant,-1.2953166,36.8060699,Harbin Restaurant
5383793282,restaurant,-1.2953043,36.806264,Tupelo Restaurant- African & Continental Dishes
5412286201,restaurant,-1.2991721,36.7839618,BLVCK Lounge
5412286202,restaurant,-1.2994451,36.7843272,The Cave
5414007497,restaurant,-1.2944252,36.7911984,Mama Oliech Restaurant
5414007498,restaurant,-1.2942425,36.7913157,Han Di Yuan Restaurant
5414007500,restaurant,-1.2947232,36.7912792,Lalls Take Away
5414007501,restaurant,-1.2948866,36.7913099,Food Basket
5414008444,restaurant,-1.2982473,36.7904965,Lucie Cafe and Restaurant
5414008445,restaurant,-1.2980435,36.7897753,Chateau Rouge
5414008446,restaurant,-1.2980819,36.7892157,Cakes.co.ke
5414008507,restaurant,-1.2988031,36.7845939,Menelik House
5414008554,restaurant,-1.2989298,36.7864927,Space Lounge Bar & Grill
5414008566,restaurant,-1.2990461,36.7869695,Café Tal
5414200464,restaurant,-1.2997581,36.7919678,Arts & Soul Lounge
5414200488,restaurant,-1.2978288,36.7942272,Ashaki Grill
5414200494,restaurant,-1.2958763,36.7998734,Chinese hotel
5414200505,restaurant,-1.2955372,36.7987698,Kyheo Restaurant
5414200512,restaurant,-1.2952324,36.7980541,Seafood Center
5414201174,restaurant,-1.2959759,36.7951668,Saffron Indian Kitchen
5414201184,restaurant,-1.2939319,36.7935937,Ethiopian Restaurant
5414201189,restaurant,-1.2942592,36.7937284,Yedil Cafe & Restaurant
5414201210,restaurant,-1.2939432,36.7928578,Sa'ani African Bistro
5414201222,restaurant,-1.2960507,36.7933628,Dejina Smart Village Restaurant
5414201227,restaurant,-1.2950577,36.7907928,Pete's Coffee Chania
5414248194,restaurant,-1.2892279,36.783367,Ankole Grill
5414280544,restaurant,-1.2927625,36.7877393,Pizza Hut
5414280545,restaurant,-1.2929447,36.7877345,Chinese Kitchen & Dim Sum House
5414280548,restaurant,-1.2929258,36.787933,Dorman's Cafe
5414280551,restaurant,-1.292837,36.7876523,Nyama Mama Xpress
5414280552,restaurant,-1.2929412,36.7878439,Artcaffe Yaya
5414280553,restaurant,-1.293062,36.7875645,Alexandre Choclatier
5414280554,restaurant,-1.2933999,36.7877476,Minar Restaurant Ltd
5414280560,restaurant,-1.2930824,36.7879029,Absolute Juice
5414280566,restaurant,-1.2945581,36.7871642,KAI Sushi Bar Nairobi
5414280567,restaurant,-1.294897,36.7871832,Kivirio Desserts
5414280568,restaurant,-1.2948321,36.7879466,Rubycut
5414280585,restaurant,-1.2934846,36.7859257,Peppermint Grove
5414335598,restaurant,-1.2923208,36.7906043,Mohni Restaurant
5414335599,restaurant,-1.2925503,36.790693,The Future Lounge
5414335602,restaurant,-1.2922113,36.7922139,Capri7 Restaurant & Bar
5414335608,restaurant,-1.2927538,36.7919165,Chicken Roost
5414335609,restaurant,-1.2929572,36.7920209,Chinese Dumpling House
5414335610,restaurant,-1.2927825,36.7923861,Silk Noodles
5414335617,restaurant,-1.2922113,36.7951698,Jingling Chinese Restaurant
5414335723,restaurant,-1.2938753,36.7989605,ANPA Restaurant
5414335735,restaurant,-1.2946343,36.7992448,Chopstix Restaurant
5414335736,restaurant,-1.2947438,36.7996909,Mc Fry's-Hurlingham
5414335737,restaurant,-1.2946604,36.7998918,The Shirpa
5428924102,restaurant,-1.2918624,36.7908057,Golden Spot Bar & Restaurant
5440487408,restaurant,-1.2878123,36.7877829,Guangdong Hotel
5440487409,restaurant,-1.2870561,36.7869783,Yue Hai Restaurant
5440487418,restaurant,-1.2879732,36.7862058,O'Sinkirri Restaurant
5440491022,restaurant,-1.290333,36.7872894,Abyssinia Exotic Restaurant
5440491040,restaurant,-1.2862141,36.7839259,Dennis Pritt Lounge
5440491077,restaurant,-1.292843,36.7815046,Garden Fresh Dishes
5440538412,restaurant,-1.2724185,36.7934237,Argenti Restaurant and Lounge
5456668214,restaurant,-1.2887111,36.7922065,Grand cafe & Indian cuisine
5456668219,restaurant,-1.2851486,36.7915978,Dambusters Hurlingham
5456668630,restaurant,-1.2909999,36.7929151,The Hood
5536006828,restaurant,-1.2833448,36.8175325,Jia Yuan Shi Fu Restaurant
5552251968,restaurant,-1.2706779,36.802947,Secret Garden Restaurant
5552457015,restaurant,-1.2818036,36.8180074,Sapee Lounge
5552467931,restaurant,-1.2829309,36.8187888,Atasi Cafe
5552467937,restaurant,-1.282995,36.818748,Valley Coffee Shake Restaurant
5555073930,restaurant,-1.2852874,36.8191294,Bakers Inn
5555073932,restaurant,-1.2845703,36.8188731,Fiesta Restaurants
5555073933,restaurant,-1.2845325,36.8193259,Gibsons Coffee
5555073943,restaurant,-1.283925,36.8185509,Black Forest House
5555073946,restaurant,-1.2844871,36.8192768,Artlantic cafe
5555073957,restaurant,-1.2819606,36.8179432,Kowloon Garden Restaurant
5587461643,restaurant,-1.2874422,36.7845225,Kilimani
5678257734,restaurant,-1.2853083,36.7900811,ORO Restaurant and Lounge
5779838662,restaurant,-1.2894579,36.7895379,Pinotage
5829975685,restaurant,-1.2834993,36.8161028,RUE104
5924128087,restaurant,-1.2842858,36.8192031,Ammara Africa
5969605186,restaurant,-1.2907063,36.8053387,Osteria Milano
5969632785,restaurant,-1.290931,36.8050659,Osteria Milano
6170453002,restaurant,-1.2757517,36.7918389,Limar Place
6171147705,restaurant,-1.2713539,36.8119744,Migwi Farm Limited
6184419654,restaurant,-1.2991308,36.7905161,Kaikos
6184425943,restaurant,-1.2996772,36.78088,Valhalla Sports Bar
6195483186,restaurant,-1.2936402,36.781938,Caffè Concerto
6285776988,restaurant,-1.282975,36.8184321,CJ’s Koinage Street
6375755424,restaurant,-1.294849,36.7970997,Century Lounge
6591715786,restaurant,-1.296921,36.7821333,Katanazi Restaurant
8862539504,restaurant,-1.2905558,36.8129869,PHQ Canteen
8917666121,restaurant,-1.2894669,36.7921572,Cloud Twenty
9232378203,restaurant,-1.2943156,36.7993411,Ka Dana Delicacies
9404117193,restaurant,-1.2774163,36.8154431,Mawimbi Seafood Restaurant
9466537394,restaurant,-1.2921603,36.7800421,Habesha Restaurant
9722375017,restaurant,-1.287507,36.7857172,Hot Pot
9722395518,restaurant,-1.2908759,36.7827463,Five Senses
9906187617,restaurant,-1.2962882,36.798832,Ain
10880721206,restaurant,-1.2907967,36.7871196,Glorious Eateries
10946386224,restaurant,-1.2869482,36.8097197,Argenti
10965472707,restaurant,-1.2902981,36.7830125,Daily Harvest Gardens
10994122586,restaurant,-1.2797916,36.8175913,Arziki
11215526639,restaurant,-1.271496,36.803699,Chiromo mess
12056913104,restaurant,-1.2866589,36.7954378,Hooyo's Kitchen & Poetry
12163869258,restaurant,-1.2811124,36.8183133,Ka-Akwacha
12164911420,restaurant,-1.2808437,36.8175485,Safari Restaurant
12180426164,restaurant,-1.2755073,36.8137244,Boulevard
13138453736,restaurant,-1.2825534,36.7850772,Chowparty Kileleshwa
13573806595,restaurant,-1.2990206,36.8011691,Western Delicacy
13912595405,restaurant,-1.2919214,36.7902543,Amalayi
13952604501,restaurant,-1.2933621,36.7858564,Saffron Grill
762025979,supermarket,-1.2816587,36.8169366,Carrefour
1419821932,supermarket,-1.2817574,36.8183031,Nakumatt Lifestyle
1635588108,supermarket,-1.2932895,36.7876075,Chandarana Supermarket
4075659130,supermarket,-1.2944514,36.7872314,Foodplus Chandarana Adlife
5339423498,supermarket,-1.2704697,36.8117014,Fruity Fruits
